URL	A1	A2	B1	B2	B3	B4	processed
Lorem_ipsum_dolor_sit_amet	1	1	1	0	0	1	
Lorem_ipsum_dolor_sit_amet	1	0	1	0	1	2	
Lorem_ipsum_dolor_sit_amet	1	0	1	0	1	1	
Lorem_ipsum_dolor_sit_amet	0	0	1	0	1	1	
Lorem_ipsum_dolor_sit_amet	0	0	0	1	1	1	
Lorem_ipsum_dolor_sit_amet	0	1	0	0	1	1	
Lorem_ipsum_dolor_sit_amet	1	1	0	0	0	1	
Lorem_ipsum_dolor_sit_amet	1	1	1	0	0	1	
Lorem_ipsum_dolor_sit_amet	0	1	0	0	1	1	
Lorem_ipsum_dolor_sit_amet	1	2	1	0	1	1	
Lorem_ipsum_dolor_sit_amet	0	0	1	0	1	1	
Lorem_ipsum_dolor_sit_amet	0	0	0	2	0	0	
Lorem_ipsum_dolor_sit_amet	0	0	0	1	0	0	
Lorem_ipsum_dolor_sit_amet	1	2	1	0	2	1	
Lorem_ipsum_dolor_sit_amet	2	2	1	0	1	1	
Lorem_ipsum_dolor_sit_amet	0	1	0	0	0	1	
Lorem_ipsum_dolor_sit_amet	2	0	0	0	1	0	
Lorem_ipsum_dolor_sit_amet	2	0	0	0	1	0	
Lorem_ipsum_dolor_sit_amet	0	1	0	0	2	1	
Lorem_ipsum_dolor_sit_amet	0	0	0	0	2	0	
Lorem_ipsum_dolor_sit_amet	1	2	0	0	1	0	
Lorem_ipsum_dolor_sit_amet	0	0	0	0	1	1	
Lorem_ipsum_dolor_sit_amet	2	3	0	0	1	1	
Lorem_ipsum_dolor_sit_amet	0	0	0	0	2	1	
Lorem_ipsum_dolor_sit_amet	0	0	1	0	1	1	
Lorem_ipsum_dolor_sit_amet	0	0	0	0	1	1	
Lorem_ipsum_dolor_sit_amet	0	0	0	0	1	1	
Lorem_ipsum_dolor_sit_amet	1	1	0	0	1	0	
Lorem_ipsum_dolor_sit_amet	0	0	0	0	1	0	
Lorem_ipsum_dolor_sit_amet	0	0	1	0	1	1	
Lorem_ipsum_dolor_sit_amet	1	0	1	0	0	1	
Lorem_ipsum_dolor_sit_amet	0	1	0	3	0	2	1
Lorem_ipsum_dolor_sit_amet	1	2	1	0	1	1	
Lorem_ipsum_dolor_sit_amet	0	0	1	0	1	1	
Lorem_ipsum_dolor_sit_amet	1	0	1	0	1	1	
Lorem_ipsum_dolor_sit_amet	2	1	0	0	1	1	
Lorem_ipsum_dolor_sit_amet	3	3	0	0	1	1	
Lorem_ipsum_dolor_sit_amet	0	1	0	1	0	1	
Lorem_ipsum_dolor_sit_amet	0	1	0	1	0	1	
Lorem_ipsum_dolor_sit_amet	0	0	0	0	1	0	
Lorem_ipsum_dolor_sit_amet	1	1	0	0	1	0	
Lorem_ipsum_dolor_sit_amet	0	1	1	0	2	1	
Lorem_ipsum_dolor_sit_amet	0	1	0	0	0	2	
